trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.8975000000000022}",25,0,-143.0758609052629,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.8950000000000022}",20,0,-229.2218407546107,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 5}",0
44,False,"{'a': 0.5, 'e': 0.8925000000000023}",25,0,10.81975699135621,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.8900000000000023}",25,0,-131.00777656395587,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.8875000000000024}",25,0,-114.86291424921897,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.8850000000000025}",20,2,-89.91192731147892,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.8825000000000025}",30,0,-63.73769458187017,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.8800000000000026}",25,0,-186.49891361857408,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
50,False,"{'a': 0.5, 'e': 0.8775000000000026}",20,0,-47.13291028635324,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.8750000000000027}",25,0,-66.60062137499433,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.8725000000000027}",25,9,-45.60856168110396,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.8700000000000028}",30,0,-95.41380701249633,"{0: 20, 1: 0, 2: 8, 3: 2, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.8675000000000028}",30,0,-178.11143426724544,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.8650000000000029}",30,0,-105.53228607681504,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.8625000000000029}",30,0,-50.79622317464347,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.860000000000003}",30,10,-73.16370036864055,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
58,False,"{'a': 0.5, 'e': 0.857500000000003}",25,0,-13.202704315673166,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.8550000000000031}",20,2,-61.52928940332578,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.8525000000000031}",35,0,-136.4164259714346,"{0: 23, 1: 1, 2: 8, 3: 2, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.8500000000000032}",35,0,-128.00806578925898,"{0: 21, 1: 4, 2: 9, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.8475000000000033}",25,0,-48.77126901820672,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.8450000000000033}",20,0,-42.55074981916391,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.8425000000000034}",25,0,-173.78582328554847,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.8400000000000034}",20,0,-56.93387713522392,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.8375000000000035}",20,0,-156.53224868198555,"{0: 8, 1: 1, 2: 6, 3: 5, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.8350000000000035}",20,9,-52.56232220529614,"{0: 5, 1: 3, 2: 1, 3: 2, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.8325000000000036}",30,0,-66.17489673522797,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.8300000000000036}",25,0,-297.11558613473795,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 6}",0
70,False,"{'a': 0.5, 'e': 0.8275000000000037}",25,0,-117.32106696140674,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.8250000000000037}",25,0,-169.77634837652232,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.8225000000000038}",25,0,-139.2172385124943,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.8200000000000038}",30,8,-81.69737464703356,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 2}",1
74,False,"{'a': 0.5, 'e': 0.8175000000000039}",25,0,-68.59082616933014,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.8150000000000039}",30,0,-58.036264598365285,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
